Action,Item,Invested,Net Profit,Value,Buy,Sell,Profile
Buy,"Micron Technology, Inc.",3.6856,8.9253,3.9897554956543013,86.3777,86.2123,robertmerc
Buy,Lockheed Martin Corporation,4.6908,-0.3462,4.645648864898009,344.0694,343.2308,robertmerc
Buy,Dropbox Inc,4.8267,2.3281,4.908525665003058,24.5521,24.4979,robertmerc
Buy,"Overstock.com, Inc.",2.5195,5.6574,2.6456398917548194,92.9836,92.7365,robertmerc
Buy,GoPro Inc,4.8566,6.1912,5.125335459609222,10.5095,10.4806,robertmerc
Buy,Walgreens Boots Alliance Inc,2.915,-5.742,2.730624074847771,46.672,46.578,robertmerc
Buy,Energy Transfer Equity LP,3.0155,34.3239,4.025505101357205,9.0581,9.0319,robertmerc
Buy,Bristol-Myers Squibb Co,4.3325,-7.3297,3.9901305032193597,56.8511,56.7389,robertmerc
Buy,Discovery Communications Inc,8.906,-10.0121,7.964677540766913,25.2127,25.1573,robertmerc
Buy,Fiserv Inc,3.6856,-10.7038,3.270769321268782,99.4294,99.2406,robertmerc
Buy,Zillow Group Inc,6.7823,-27.8433,4.863607760335586,56.5509,56.4292,robertmerc
Buy,Regeneron Pharmaceuticals,4.2568,21.7001,5.148492006929292,648.9836,647.4568,robertmerc
Buy,Royal Mail,3.8432,0.7574,3.848366874896469,512.06,510.74,robertmerc
Buy,Transocean LTD,2.3085,-11.1423,2.0386018301297137,3.2129,3.1971,robertmerc
Buy,Corsair Gaming Inc,2.1656,-12.556,1.8819812292136369,23.4411,23.3789,robertmerc
Buy,Porsche Automobil Holding SE,3.6856,-4.1839,3.5095838485368818,79.79,79.61,robertmerc
Buy,Neurocrine Biosciences Inc,3.4378,-6.5353,3.1932414453586433,87.9591,87.731,robertmerc
Buy,Dave & Busters Entertainment Inc,4.0207,5.8791,4.230737841027975,36.4728,36.3672,robertmerc
Buy,Nano Dimension Ltd,0.9214,-57.2268,0.3916769476817604,5.1046,5.0854,robertmerc
Buy,BioNTech SE,4.5982,18.6097,5.4201311275107225,305.6549,304.6955,robertmerc
Buy,Palantir Technologies Inc.,1.3977,4.272,1.4484221899707888,21.149,21.101,robertmerc
Buy,Bitcoin,5.4615,21.4926,6.594202301489542,57737.18,57305.66,robertmerc
Buy,Amazon,3.8467,7.9715,4.042515668216118,3583.6524,3575.9687,hugomanenti95
Buy,"Micron Technology, Inc.",4.9238,4.202,4.9937685064492845,86.3777,86.2123,hugomanenti95
Buy,Abercrombie & Fitch Company,1.8464,-2.7875,1.747049722886291,39.2953,39.2147,hugomanenti95
Buy,Pinterest Inc,1.5386,-9.8789,1.3496722358652569,42.3981,42.3119,hugomanenti95
Buy,Levi Strauss & Co. ,2.1541,8.4412,2.2736560684581972,28.2254,28.1446,hugomanenti95
Buy,GoPro Inc,2.7696,-0.3882,2.685252474588886,10.5095,10.4806,hugomanenti95
Buy,PayPal Holdings,4.0005,-6.2709,3.649638418531324,188.8798,188.5002,hugomanenti95
Buy,United States Steel Corp,2.1541,3.1162,2.1620080987418113,25.1526,25.0974,hugomanenti95
Buy,Bristol-Myers Squibb Co,2.4619,-1.1997,2.367447148086351,56.8511,56.7389,hugomanenti95
Buy,Ally Financial Inc,4.616,-0.0944,4.488621994062912,49.995,49.8851,hugomanenti95
Buy,Applied Materials Inc,3.0773,13.2669,3.3926207833077595,149.2342,148.9258,hugomanenti95
Buy,D.R. Horton Inc,3.0773,4.3793,3.1264154931243495,101.161,100.9491,hugomanenti95
Buy,WESCO International Inc,3.6736,28.6565,4.600189826025352,136.3826,136.0774,hugomanenti95
Buy,Zillow Group Inc,2.308,-13.185,1.9502400358678291,56.5509,56.4292,hugomanenti95
Buy,Southwestern Energy Co,1.6931,-0.5673,1.6386330553740531,4.9845,4.9655,hugomanenti95
Buy,"Square, Inc.",1.8464,-11.5732,1.5891587212766494,215.9242,215.4359,hugomanenti95
Buy,SolarEdge Technologies,2.283,17.259,2.6056280904931524,348.7636,347.8565,hugomanenti95
Buy,Regeneron Pharmaceuticals,1.8464,5.1841,1.8903133529440304,648.9836,647.4568,hugomanenti95
Buy,ASOS PLC,3.6931,-9.3682,3.2578151562815036,2533.28,2524.73,hugomanenti95
Buy,Ferrexpo PLC,3.3851,-17.6242,2.7140889633143646,290.86,289.34,hugomanenti95
Buy,VanEck Vectors Gold Miners ETF,1.5386,-0.7479,1.4864206800058037,32.4492,32.3808,hugomanenti95
Buy,Direxion Daily Small Cap Bull 3X Shares,1.2309,-4.6918,1.141884367073793,97.0873,96.8927,hugomanenti95
Buy,Transocean LTD,1.5386,-9.7826,1.351115314485086,3.2129,3.1971,hugomanenti95
Buy,KraneShares CSI China Internet,3.0773,-0.2772,2.9869408257942167,47.6028,47.5072,hugomanenti95
Buy,Corsair Gaming Inc,3.0773,-4.3837,2.8639393776025206,23.4411,23.3789,hugomanenti95
Buy,Enphase Energy Inc.,2.7234,29.8973,3.443306915262194,255.3096,254.6806,hugomanenti95
Buy,Peloton Interactive,1.8464,-25.4413,1.339927588321371,43.9495,43.8605,hugomanenti95
Buy,Porsche Automobil Holding SE,2.4619,-6.3914,2.243044258162047,79.79,79.61,hugomanenti95
Buy,Matador Resources Co,1.077,6.8571,1.1202212781262004,44.53,44.38,hugomanenti95
Buy,Taylor Morrison Home Corp,4.3083,17.4887,4.926705750478667,32.8996,32.8204,hugomanenti95
Buy,Builders FirstSource Inc,4.3852,16.8254,4.986370023068493,73.8164,73.6437,hugomanenti95
Buy,Novavax Inc,1.2309,-9.0859,1.089238529321621,200.4903,199.9399,hugomanenti95
Buy,Digital Turbine Inc,1.5386,-5.6146,1.4135355111042711,56.3707,56.2094,hugomanenti95
Buy,Centennial Resource Development Inc/DE,1.5386,-1.5013,1.4751367660730237,7.1765,7.1536,hugomanenti95
Buy,BioNTech SE,2.1541,18.9421,2.493826365915122,305.6549,304.6955,hugomanenti95
Buy,Pan American Silver Corp,3.0773,0.7184,3.016764241436145,26.4238,26.3662,hugomanenti95
Buy,ProPetro Holding Corp,1.2309,9.045,1.3064660070100038,8.6378,8.6122,hugomanenti95
Buy,Bitcoin,2.0004,-2.4319,1.899676803268694,57737.18,57305.66,hugomanenti95
Buy,Ethereum,1.9233,10.5499,2.069524552457905,4327.95,4246.5171,hugomanenti95
Sell,EUR/USD,8.2621,39.8713,10.94385122586663,1.12213,1.12204,fundmanagerzech
Sell,USD/MXN,5.9449,-34.4847,3.688414876688416,21.4143,21.41078,fundmanagerzech
Buy,Intel,3.8237,0.9516,3.6554839224097964,49.8148,49.7152,fundmanagerzech
Buy,Walgreens Boots Alliance Inc,2.8373,-7.1869,2.493866740530283,46.672,46.578,fundmanagerzech
Buy,Williams Companies Inc,0.6755,147.5281,1.583578223593613,28.5757,28.5143,fundmanagerzech
Buy,Yum Brands Inc,0.6755,124.4692,1.4360568987002973,127.0442,126.7558,fundmanagerzech
Buy,Newmont Mining Corp,4.6749,-13.6736,3.821767005187303,55.5299,55.4101,fundmanagerzech
Buy,Discovery Communications Inc,2.6076,-2.3652,2.411051853169292,25.2127,25.1573,fundmanagerzech
Buy,China Petroleum & Chemical Corporation,9.5254,1.3827,9.145300510747788,3.673,3.657,fundmanagerzech
Buy,Alibaba Group Holding Ltd (Hong Kong),5.1478,-6.7397,4.546386029390133,135.62,135.28,fundmanagerzech
Buy,VanEck Vectors Russia ETF,7.85,4.2162,7.747410737159393,28.926,28.864,fundmanagerzech
Buy,ISHARES MSCI MEXICO CAPPED,4.9856,-0.1085,4.71627937966084,46.0614,45.9686,fundmanagerzech
Buy,Barrick Gold,4.6749,-11.9146,3.8996420839014356,19.4275,19.3825,fundmanagerzech
Buy,Restaurant Brands International Inc.,0.6755,85.3535,1.1858117040011156,58.8129,58.6672,fundmanagerzech
Buy,Heat Biologics Inc,1.4186,-46.4755,0.7190957331088225,4.494,4.476,fundmanagerzech
Buy,Cameco Corp,5.472,14.9886,5.9587437197026825,25.2727,25.2173,fundmanagerzech
Buy,Equity Commonwealth,2.7427,0.6168,2.6134333654531474,26.1335,26.0765,fundmanagerzech
Buy,Ethereum,0.2924,362.2293,1.2802657443813565,4327.95,4246.5171,fundmanagerzech
Buy,Cardano,2.2086,31.531,2.7510640346901525,1.6486,1.6005,fundmanagerzech
Buy,Binance Coin,0.8745,92.3246,1.592864021250962,619.9,604.9,fundmanagerzech
Buy,Polkadot,4.9181,-0.1402,4.650895682860589,39.038,37.9122,fundmanagerzech
Buy,Polygon,1.8184,28.5976,2.214510855353272,1.7947,1.7424,fundmanagerzech
Buy,Alphabet,5.076,24.0242,5.3602510820524385,2937.111,2930.7599,benpavlotzky
Buy,Walt Disney,9.4792,-15.1473,6.848376136228136,151.4562,151.1438,benpavlotzky
Buy,"Tesla Motors, Inc.",28.6765,76.542,43.10468833741834,1116.6241,1114.2263,benpavlotzky
Buy,Twitter,3.1313,-17.2266,2.206835384066933,47.5628,47.4672,benpavlotzky
Buy,Etsy Inc,3.6139,59.8653,4.9191166194915,297.3575,296.7127,benpavlotzky
Buy,Southwest Airlines Co,14.5795,-17.7405,10.211284636447923,47.0423,46.9477,benpavlotzky
Buy,ARK Innovation ETF,3.6944,-18.2439,2.5716959940902724,107.867,107.633,benpavlotzky
Buy,Nio Inc.,6.8777,-9.5047,5.299342096092741,41.4773,41.3927,benpavlotzky
Buy,Nano Dimension Ltd,5.723,-14.673,4.157790271451755,5.1046,5.0854,benpavlotzky
Buy,ARK Genomic Revolution ETF,1.9863,-19.8253,1.355958807680751,65.2887,65.1313,benpavlotzky
Buy,Fintech Acquisition Corp. V,1.0828,-3.5367,0.889392014561528,10.3193,10.2608,benpavlotzky
Buy,Cardano,3.1826,-22.6857,2.0950426623386047,1.6486,1.6005,benpavlotzky
