Action,Item,Open Rate,Open Time,Close Rate,Close Time,Net Profit,Profile
Buy,NASDAQ100,13907.05,2021-04-30T15:37:30.667Z,13912.95,2021-05-03T13:32:25.397Z,0.85,fijnje
Buy,DJ30,34022.95,2021-05-03T01:17:01.757Z,34035.95,2021-05-03T09:26:01.117Z,0.765,fijnje
Buy,DJ30,33931.15,2021-04-30T14:07:34.073Z,34016.95,2021-05-03T01:03:01.6Z,5.055,fijnje
Buy,SPX500,4193.45,2021-04-30T14:10:02Z,4199.32,2021-05-03T01:02:56.697Z,2.8,fijnje
Buy,SPX500,4191.22,2021-04-30T14:24:26.817Z,4199.32,2021-05-03T01:02:53.42Z,3.865,fijnje
Buy,DJ30,33902.15,2021-04-30T14:20:18.553Z,33909.95,2021-04-30T20:06:39.563Z,0.46,fijnje
Buy,DJ30,33823.15,2021-04-30T15:36:55.757Z,33910.45,2021-04-30T20:06:36.277Z,5.16,fijnje
Buy,SPX500,4184.47,2021-04-30T15:36:47.68Z,4187.17,2021-04-30T20:06:31.033Z,1.29,fijnje
Buy,NASDAQ100,13916.65,2021-04-30T14:09:42.833Z,13937.35,2021-04-30T14:38:43.437Z,2.975,fijnje
Buy,SPX500,4193.2,2021-04-30T14:07:21.28Z,4193.2,2021-04-30T14:10:48.217Z,0.0,fijnje
Buy,NASDAQ100,13896.35,2021-04-30T13:55:44.81Z,13902.25,2021-04-30T14:08:22.493Z,0.85,fijnje
Buy,DJ30,33900.15,2021-04-30T10:57:07.793Z,33922.15,2021-04-30T14:06:45.83Z,1.3,fijnje
Buy,SPX500,4186.45,2021-04-30T10:56:56.707Z,4190.95,2021-04-30T14:06:37.487Z,2.15,fijnje
Buy,NASDAQ100,13877.1,2021-04-30T11:56:44.473Z,13886.85,2021-04-30T13:53:05.407Z,1.405,fijnje
Buy,Domino's Pizza Inc,425.23,2020-10-05T18:39:36.123Z,423.6,2021-04-30T13:44:48.033Z,-0.38,fijnje
Buy,NASDAQ100,13869.1,2021-04-30T10:57:02.433Z,13862.8,2021-04-30T11:26:18.343Z,-0.91,fijnje
Buy,SPX500,4213.91,2021-04-29T13:40:48.393Z,4214.04,2021-04-29T19:48:21.483Z,0.06,fijnje
Buy,DJ30,34053.65,2021-04-26T16:21:47.983Z,34072.15,2021-04-29T19:47:01.543Z,1.085,fijnje
Buy,NASDAQ100,13933.15,2021-04-29T17:48:06.607Z,13958.75,2021-04-29T19:24:40.82Z,3.675,fijnje
Buy,SPX500,4192.58,2021-04-29T16:48:18.903Z,4208.54,2021-04-29T19:24:35.77Z,7.615,fijnje
Buy,DJ30,33903.25,2021-04-29T16:50:40.573Z,34044.15,2021-04-29T19:24:31.1Z,8.31,fijnje
Buy,SPX500,4215.66,2021-04-29T12:40:35.427Z,4212.41,2021-04-29T13:07:10.237Z,-1.54,fijnje
Buy,NASDAQ100,14062.3,2021-04-29T12:40:40.52Z,14055.4,2021-04-29T13:07:07.587Z,-0.98,fijnje
Buy,SPX500,4214.41,2021-04-29T11:51:32.043Z,4215.16,2021-04-29T12:33:43.95Z,0.355,fijnje
Buy,NASDAQ100,14030.05,2021-04-27T13:32:47.213Z,14056.0,2021-04-29T12:33:41.21Z,3.7,fijnje
Buy,NASDAQ100,14029.7,2021-04-27T09:53:37.1Z,14055.9,2021-04-29T12:33:38.287Z,3.735,fijnje
Buy,SPX500,4192.67,2021-04-28T01:52:34.203Z,4214.91,2021-04-29T12:33:35.717Z,10.61,fijnje
Buy,JPN225,29122.44,2021-04-28T01:54:29.703Z,29117.0,2021-04-29T12:14:36.357Z,-0.375,fijnje
Buy,DJ30,33981.65,2021-04-29T10:10:27.17Z,33964.15,2021-04-29T11:51:11.133Z,-1.03,fijnje
Buy,NASDAQ100,13961.75,2021-04-27T14:26:34.727Z,13980.1,2021-04-28T01:35:51.11Z,2.63,fijnje
Buy,SPX500,4190.58,2021-04-27T13:32:52.557Z,4191.17,2021-04-28T01:35:42.25Z,0.28,fijnje
Buy,SPX500,4187.33,2021-04-27T09:53:28.423Z,4190.92,2021-04-28T01:35:39.5Z,1.715,fijnje
Buy,SPX500,4181.9,2021-04-27T14:26:28.727Z,4190.92,2021-04-28T01:35:36.717Z,4.315,fijnje
Buy,SPX500,4191.54,2021-04-26T14:04:56.17Z,4195.33,2021-04-27T06:14:02.767Z,1.81,fijnje
Buy,NASDAQ100,14017.7,2021-04-26T20:10:17.973Z,14052.0,2021-04-27T06:13:57.627Z,4.895,fijnje
Buy,NASDAQ100,14017.25,2021-04-26T19:35:48.627Z,14021.8,2021-04-26T20:00:17.25Z,0.65,fijnje
Buy,SPX500,4187.64,2021-04-26T16:21:39.997Z,4188.58,2021-04-26T20:00:07.993Z,0.45,fijnje
Buy,NASDAQ100,13994.35,2021-04-26T17:10:44.04Z,13999.55,2021-04-26T19:30:45.427Z,0.745,fijnje
Buy,NASDAQ100,13952.35,2021-04-26T14:05:04.267Z,13994.55,2021-04-26T19:30:42.17Z,6.05,fijnje
Buy,NASDAQ100,14004.85,2021-04-19T13:57:14.457Z,13984.05,2021-04-23T19:35:06.507Z,-2.97,fijnje
Buy,SPX500,4183.47,2021-04-23T17:06:06.9Z,4193.04,2021-04-23T19:35:00.12Z,4.575,fijnje
Buy,DJ30,34166.75,2021-04-20T06:14:11.513Z,34146.45,2021-04-23T19:34:53.7Z,-1.19,fijnje
Buy,DJ30,34129.75,2021-04-22T13:10:39.157Z,34146.45,2021-04-23T19:34:50.587Z,0.98,fijnje
Buy,NASDAQ100,13937.05,2021-04-19T14:09:59.177Z,13953.95,2021-04-23T17:04:42.59Z,2.425,fijnje
Buy,NASDAQ100,13919.9,2021-04-22T13:10:32.67Z,13952.95,2021-04-23T17:04:39.853Z,4.75,fijnje
Buy,NASDAQ100,13838.15,2021-04-23T13:57:37.187Z,13952.75,2021-04-23T17:04:36.833Z,16.565,fijnje
Buy,SPX500,4180.06,2021-04-19T13:57:00.193Z,4182.22,2021-04-23T17:04:32.267Z,1.035,fijnje
Buy,SPX500,4173.02,2021-04-22T13:10:26.987Z,4182.22,2021-04-23T17:04:29.053Z,4.41,fijnje
Buy,SPX500,4152.89,2021-04-23T13:57:30.923Z,4181.97,2021-04-23T17:04:25.847Z,14.005,fijnje
Buy,DJ30,33835.65,2021-04-23T13:57:44.157Z,34032.95,2021-04-23T17:04:19.88Z,11.66,fijnje
Buy,NASDAQ100,13901.95,2021-04-22T13:36:13.62Z,13903.25,2021-04-22T16:09:31.603Z,0.185,fijnje
Buy,DJ30,34030.25,2021-04-22T13:36:18.19Z,34066.35,2021-04-22T16:09:25.58Z,2.12,fijnje
Buy,SPX500,4165.52,2021-04-22T13:36:06.11Z,4170.45,2021-04-22T16:09:17.443Z,2.365,fijnje
Buy,NASDAQ100,13901.65,2021-04-21T19:41:17.723Z,13915.85,2021-04-21T19:51:24.667Z,2.045,fijnje
Buy,DJ30,34132.95,2021-04-21T19:41:26.553Z,34135.45,2021-04-21T19:51:19.643Z,0.145,fijnje
Buy,SPX500,4170.86,2021-04-21T19:41:12.053Z,4171.86,2021-04-21T19:51:13.367Z,0.48,fijnje
Buy,NASDAQ100,13855.85,2021-04-21T17:05:59.93Z,13899.15,2021-04-21T19:39:06.737Z,6.25,fijnje
Buy,DJ30,34047.65,2021-04-21T17:06:05.343Z,34136.45,2021-04-21T19:38:59.177Z,5.215,fijnje
Buy,SPX500,4158.83,2021-04-21T17:05:53.863Z,4170.86,2021-04-21T19:38:53.88Z,5.785,fijnje
Buy,DJ30,34026.75,2021-04-21T14:26:38.61Z,34027.75,2021-04-21T16:30:09.887Z,0.06,fijnje
Buy,SPX500,4153.19,2021-04-21T14:26:32.18Z,4157.69,2021-04-21T16:29:43.99Z,2.165,fijnje
